Tm,Division,W,L,T,W-L%,Pts,PtsO,PtDif,Year
Tampa Bay Buccaneers,NFC South,5,11,0,0.313,335,382,-47,2017
Los Angeles Rams,NFC West,11,5,0,0.688,478,329,149,2017
Seattle Seahawks,NFC West,9,7,0,0.563,366,332,34,2017
Arizona Cardinals,NFC West,8,8,0,0.5,295,361,-66,2017
San Francisco 49ers,NFC West,6,10,0,0.375,331,383,-52,2017
New England Patriots,AFC East,14,2,0,0.875,441,250,191,2016
Miami Dolphins,AFC East,10,6,0,0.625,363,380,-17,2016
Buffalo Bills,AFC East,7,9,0,0.438,399,378,21,2016
New York Jets,AFC East,5,11,0,0.313,275,409,-134,2016
Pittsburgh Steelers,AFC North,11,5,0,0.688,399,327,72,2016
Baltimore Ravens,AFC North,8,8,0,0.5,343,321,22,2016
Cincinnati Bengals,AFC North,6,9,1,0.406,325,315,10,2016
Cleveland Browns,AFC North,1,15,0,0.063,264,452,-188,2016
Houston Texans,AFC South,9,7,0,0.563,279,328,-49,2016
Tennessee Titans,AFC South,9,7,0,0.563,381,378,3,2016
Indianapolis Colts,AFC South,8,8,0,0.5,411,392,19,2016
Jacksonville Jaguars,AFC South,3,13,0,0.188,318,400,-82,2016
Kansas City Chiefs,AFC West,12,4,0,0.75,389,311,78,2016
Oakland Raiders,AFC West,12,4,0,0.75,416,385,31,2016
Denver Broncos,AFC West,9,7,0,0.563,333,297,36,2016
San Diego Chargers,AFC West,5,11,0,0.313,410,423,-13,2016
Dallas Cowboys,NFC East,13,3,0,0.813,421,306,115,2016
New York Giants,NFC East,11,5,0,0.688,310,284,26,2016
Washington Redskins,NFC East,8,7,1,0.531,396,383,13,2016
Philadelphia Eagles,NFC East,7,9,0,0.438,367,331,36,2016
Green Bay Packers,NFC North,10,6,0,0.625,432,388,44,2016
Detroit Lions,NFC North,9,7,0,0.563,346,358,-12,2016
Minnesota Vikings,NFC North,8,8,0,0.5,327,307,20,2016
Chicago Bears,NFC North,3,13,0,0.188,279,399,-120,2016
Atlanta Falcons,NFC South,11,5,0,0.688,540,406,134,2016
Tampa Bay Buccaneers,NFC South,9,7,0,0.563,354,369,-15,2016
New Orleans Saints,NFC South,7,9,0,0.438,469,454,15,2016
Carolina Panthers,NFC South,6,10,0,0.375,369,402,-33,2016
Seattle Seahawks,NFC West,10,5,1,0.656,354,292,62,2016
Arizona Cardinals,NFC West,7,8,1,0.469,418,362,56,2016
Los Angeles Rams,NFC West,4,12,0,0.25,224,394,-170,2016
San Francisco 49ers,NFC West,2,14,0,0.125,309,480,-171,2016
New England Patriots,AFC East,12,4,0,0.75,465,315,150,2015
New York Jets,AFC East,10,6,0,0.625,387,314,73,2015
Buffalo Bills,AFC East,8,8,0,0.5,379,359,20,2015
Miami Dolphins,AFC East,6,10,0,0.375,310,389,-79,2015
Cincinnati Bengals,AFC North,12,4,0,0.75,419,279,140,2015
Pittsburgh Steelers,AFC North,10,6,0,0.625,423,319,104,2015
Baltimore Ravens,AFC North,5,11,0,0.313,328,401,-73,2015
Cleveland Browns,AFC North,3,13,0,0.188,278,432,-154,2015
Houston Texans,AFC South,9,7,0,0.563,339,313,26,2015
Indianapolis Colts,AFC South,8,8,0,0.5,333,408,-75,2015
Jacksonville Jaguars,AFC South,5,11,0,0.313,376,448,-72,2015
Tennessee Titans,AFC South,3,13,0,0.188,299,423,-124,2015
Denver Broncos,AFC West,12,4,0,0.75,355,296,59,2015
Kansas City Chiefs,AFC West,11,5,0,0.688,405,287,118,2015
Oakland Raiders,AFC West,7,9,0,0.438,359,399,-40,2015
San Diego Chargers,AFC West,4,12,0,0.25,320,398,-78,2015
Washington Redskins,NFC East,9,7,0,0.563,388,379,9,2015
Philadelphia Eagles,NFC East,7,9,0,0.438,377,430,-53,2015
New York Giants,NFC East,6,10,0,0.375,420,442,-22,2015
Dallas Cowboys,NFC East,4,12,0,0.25,275,374,-99,2015
Minnesota Vikings,NFC North,11,5,0,0.688,365,302,63,2015
Green Bay Packers,NFC North,10,6,0,0.625,368,323,45,2015
Detroit Lions,NFC North,7,9,0,0.438,358,400,-42,2015
Chicago Bears,NFC North,6,10,0,0.375,335,397,-62,2015
Carolina Panthers,NFC South,15,1,0,0.938,500,308,192,2015
Atlanta Falcons,NFC South,8,8,0,0.5,339,345,-6,2015
New Orleans Saints,NFC South,7,9,0,0.438,408,476,-68,2015
Tampa Bay Buccaneers,NFC South,6,10,0,0.375,342,417,-75,2015
Arizona Cardinals,NFC West,13,3,0,0.813,489,313,176,2015
Seattle Seahawks,NFC West,10,6,0,0.625,423,277,146,2015
St. Louis Rams,NFC West,7,9,0,0.438,280,330,-50,2015
San Francisco 49ers,NFC West,5,11,0,0.313,238,387,-149,2015
New England Patriots,AFC East,12,4,0,0.75,468,313,155,2014
Buffalo Bills,AFC East,9,7,0,0.563,343,289,54,2014
Miami Dolphins,AFC East,8,8,0,0.5,388,373,15,2014
New York Jets,AFC East,4,12,0,0.25,283,401,-118,2014
Pittsburgh Steelers,AFC North,11,5,0,0.688,436,368,68,2014
Cincinnati Bengals,AFC North,10,5,1,0.656,365,344,21,2014
Baltimore Ravens,AFC North,10,6,0,0.625,409,302,107,2014
Cleveland Browns,AFC North,7,9,0,0.438,299,337,-38,2014
Indianapolis Colts,AFC South,11,5,0,0.688,458,369,89,2014
Houston Texans,AFC South,9,7,0,0.563,372,307,65,2014
Jacksonville Jaguars,AFC South,3,13,0,0.188,249,412,-163,2014
Tennessee Titans,AFC South,2,14,0,0.125,254,438,-184,2014
Denver Broncos,AFC West,12,4,0,0.75,482,354,128,2014
Kansas City Chiefs,AFC West,9,7,0,0.563,353,281,72,2014
San Diego Chargers,AFC West,9,7,0,0.563,348,348,0,2014
Oakland Raiders,AFC West,3,13,0,0.188,253,452,-199,2014
Dallas Cowboys,NFC East,12,4,0,0.75,467,352,115,2014
Philadelphia Eagles,NFC East,10,6,0,0.625,474,400,74,2014
New York Giants,NFC East,6,10,0,0.375,380,400,-20,2014
Washington Redskins,NFC East,4,12,0,0.25,301,438,-137,2014
Green Bay Packers,NFC North,12,4,0,0.75,486,348,138,2014
Detroit Lions,NFC North,11,5,0,0.688,321,282,39,2014
Minnesota Vikings,NFC North,7,9,0,0.438,325,343,-18,2014
Chicago Bears,NFC North,5,11,0,0.313,319,442,-123,2014
Carolina Panthers,NFC South,7,8,1,0.469,339,374,-35,2014
New Orleans Saints,NFC South,7,9,0,0.438,401,424,-23,2014
Atlanta Falcons,NFC South,6,10,0,0.375,381,417,-36,2014
Tampa Bay Buccaneers,NFC South,2,14,0,0.125,277,410,-133,2014
Seattle Seahawks,NFC West,12,4,0,0.75,394,254,140,2014
Arizona Cardinals,NFC West,11,5,0,0.688,310,299,11,2014
San Francisco 49ers,NFC West,8,8,0,0.5,306,340,-34,2014
St. Louis Rams,NFC West,6,10,0,0.375,324,354,-30,2014
